MAIN_ERROR,Count,Percentage
Direct leak,13,1.60%
READ memory access,213,26.30%
WRITE memory access,62,7.65%
allocation-size-too-big,1,0.12%
attempting free on address which was not malloc,8,0.99%
global-buffer-overflow,60,7.41%
heap-buffer-overflow,96,11.85%
heap-use-after-free,19,2.35%
memcpy-param-overlap,1,0.12%
requested allocation size .* exceeds maximum supported size,1,0.12%
runtime error,111,13.70%
stack-overflow-related,67,8.27%
use-of-uninitialized-value,158,19.51%
总计,810,100%
