MAIN_ERROR,Count,Percentage
Direct leak,6,25.00%
READ memory access,3,12.50%
WRITE memory access,6,25.00%
global-buffer-overflow,1,4.17%
runtime error,5,20.83%
use-of-uninitialized-value,3,12.50%
总计,24,100%
