MAIN_ERROR,Count,Percentage
Direct leak,54,4.53%
READ memory access,471,39.55%
WRITE memory access,137,11.50%
allocation-size-too-big,3,0.25%
global-buffer-overflow,35,2.94%
heap-buffer-overflow,26,2.18%
heap-use-after-free,35,2.94%
requested allocation size .* exceeds maximum supported size,4,0.34%
runtime error,298,25.02%
stack-overflow-related,70,5.88%
use-of-uninitialized-value,58,4.87%
总计,1191,100%
