MAIN_ERROR,Count,Percentage
Direct leak,36,3.75%
READ memory access,329,34.24%
WRITE memory access,144,14.98%
allocation-size-too-big,18,1.87%
attempting free on address which was not malloc,1,0.10%
global-buffer-overflow,20,2.08%
heap-buffer-overflow,21,2.19%
heap-use-after-free,83,8.64%
requested allocation size .* exceeds maximum supported size,19,1.98%
runtime error,212,22.06%
stack-overflow-related,20,2.08%
use-of-uninitialized-value,58,6.04%
总计,961,100%
